Date,Angel,Baker Street,Euston,Great Portland Street,Marylebone,Old Street,Paddington,Warren Street,Aldgate,Aldgate East,Bank,Bethnal Green,Liverpool Street,Monument,Moorgate,Tower Gateway,Tower Hill,Whitechapel,Barbican,Chancery Lane,Euston Square,Farringdon,Goodge Street,Holborn,Oxford Circus,Russell Square,St Pauls,Tottenham Court Road,Bayswater,Bond Street,Gloucester Road,Knightsbridge,Lancaster Gate,Marble Arch,Notting Hill Gate,Queensway,Regents Park,South Kensington,Covent Garden,Green Park,High Street Kensington,Hyde Park Corner,Leicester Square,Piccadilly Circus,Sloane Square,St James's Park,Victoria,Westminster,Blackfriars,Cannon Street,Charing Cross,Embankment,Mansion House,Pimlico,Southwark,Temple,Vauxhall,Waterloo,Canary Wharf,London Bridge,Stratford
2024-01-01,5601.0,14340,21237.0,1989.0,5101.0,7534.0,24443.0,5559.0,7223.0,10657.0,8690.0,7126.0,27266.0,12082.0,5621.0,1382.0,529.0,13234.0,894.0,1565.0,4886.0,16602.0,2162.0,10661.0,38398.0,7296.0,5722.0,54750.0,5129.0,31869.0,9125.0,25291.0,2956.0,18774.0,8562.0,6913.0,1083.0,20784.0,14214,26117.0,7031.0,15557.0,44275.0,5864.0,9214.0,37626.0,30777.0,,7967.0,1869.0,16099.0,18858.0,2416.0,4489.0,2748.0,3015.0,13435.0,42032.0,17636,39628.0,39805.0
2024-01-02,10631.0,23560,35780.0,5446.0,10907.0,15765.0,34612.0,14948.0,,,,,,,,,,,9737.0,,,,,,,,,,3444.0,11188.0,7771.0,34414.0,,,,,,,4695,41104.0,38545.0,27164.0,,,,,,,6133.0,74615.0,,,,,,,,,40703,65499.0,78477.0
2024-01-03,13049.0,25630,36563.0,6308.0,9949.0,18803.0,33125.0,16794.0,9314.0,14266.0,41404.0,12878.0,70403.0,14052.0,30639.0,2403.0,27007.0,23377.0,5936.0,10035.0,11639.0,47847.0,6101.0,22672.0,69670.0,13040.0,78355.0,,5903.0,51488.0,14022.0,23852.0,14569.0,2551.0,,,,,17543,36060.0,12917.0,40350.0,15724.0,14343.0,76058.0,,,,14767.0,22752.0,23150.0,6095.0,8648.0,11462.0,6870.0,25126.0,,,40147,66350.0,66887.0
2024-01-04,14052.0,27885,36399.0,7430.0,12458.0,22221.0,34925.0,18470.0,10401.0,16321.0,49103.0,12987.0,78387.0,15698.0,35760.0,2328.0,24179.0,23621.0,7823.0,12751.0,12427.0,55875.0,7619.0,26229.0,71123.0,10647.0,14937.0,81721.0,5682.0,54222.0,15009.0,24862.0,3394.0,12154.0,14378.0,8221.0,2964.0,36328.0,18522,35744.0,13677.0,4967.0,42169.0,41568.0,16757.0,15073.0,81128.0,27353.0,17214.0,6711.0,24780.0,22469.0,7383.0,9680.0,13241.0,8098.0,26821.0,79452.0,43779,78648.0,68401.0
2024-01-05,13064.0,25473,33924.0,5763.0,9820.0,17915.0,30578.0,15814.0,7788.0,13915.0,31627.0,13398.0,67311.0,10751.0,22767.0,2251.0,21345.0,23471.0,5827.0,8742.0,10439.0,42562.0,5488.0,21613.0,66327.0,9934.0,11413.0,79595.0,5286.0,51043.0,14513.0,23506.0,3415.0,11606.0,15297.0,8394.0,2535.0,34599.0,17226,35444.0,12595.0,4831.0,45924.0,38898.0,14496.0,10393.0,73605.0,24627.0,11370.0,4668.0,21322.0,21271.0,4632.0,8786.0,10460.0,5768.0,27684.0,69426.0,36269,69493.0,67484.0
2024-01-06,14597.0,20396,34904.0,3328.0,8616.0,14783.0,32094.0,9554.0,4418.0,12179.0,13129.0,13154.0,53216.0,8226.0,9367.0,1742.0,20459.0,18318.0,3401.0,3847.0,7566.0,24812.0,4119.0,16853.0,62325.0,7465.0,7469.0,82318.0,4694.0,46151.0,11980.0,21284.0,3458.0,10285.0,16153.0,7628.0,1502.0,32329.0,18960,25845.0,10988.0,3984.0,52967.0,40392.0,14571.0,6569.0,63019.0,20515.0,11145.0,3702.0,21614.0,22883.0,2274.0,7559.0,7608.0,4361.0,25844.0,60715.0,28449,71157.0,71196.0
2024-01-07,9374.0,13232,23849.0,2205.0,5529.0,8541.0,20786.0,6177.0,2844.0,7789.0,7264.0,7946.0,33575.0,4882.0,5739.0,1262.0,11060.0,12570.0,2080.0,1813.0,5114.0,15805.0,2177.0,7908.0,32084.0,4363.0,3889.0,43110.0,3378.0,25783.0,7556.0,9462.0,2460.0,5522.0,8231.0,4468.0,744.0,19759.0,7405,15008.0,6866.0,2348.0,21487.0,17606.0,7679.0,3988.0,38660.0,11965.0,6505.0,2109.0,11767.0,11149.0,1611.0,5205.0,4354.0,2332.0,18069.0,34126.0,17678,39970.0,63329.0
2024-01-08,11101.0,20586,27316.0,5824.0,7210.0,15920.0,24526.0,17221.0,7049.0,10541.0,34924.0,10562.0,58685.0,8932.0,25936.0,2087.0,13251.0,22683.0,5974.0,9283.0,12567.0,47474.0,6036.0,18777.0,47365.0,7888.0,9508.0,54473.0,3528.0,39152.0,11960.0,13562.0,2343.0,8439.0,11463.0,5268.0,2225.0,27396.0,8288,29193.0,10071.0,3216.0,22193.0,21573.0,13929.0,10389.0,59190.0,16729.0,11651.0,5184.0,13326.0,14213.0,4751.0,8358.0,8413.0,6329.0,23019.0,55425.0,34417,50205.0,59034.0
2024-01-09,16415.0,32063,39123.0,8729.0,4657.0,23981.0,30417.0,23597.0,10708.0,13964.0,53343.0,13072.0,80408.0,13248.0,42489.0,2436.0,17348.0,26737.0,8018.0,13524.0,17763.0,63568.0,7646.0,26462.0,60269.0,9960.0,13256.0,69683.0,3583.0,48999.0,14456.0,15403.0,2934.0,10320.0,14113.0,6066.0,1799.0,30766.0,11458,36643.0,12026.0,3985.0,29191.0,25070.0,17086.0,14741.0,77139.0,22585.0,16502.0,8233.0,15609.0,18897.0,7205.0,10967.0,13417.0,8495.0,30029.0,77225.0,50172,70578.0,68914.0
2024-01-10,17284.0,28199,38133.0,8480.0,11316.0,24070.0,34054.0,23176.0,11045.0,14857.0,54414.0,13574.0,83857.0,14248.0,42862.0,2873.0,19045.0,27092.0,8213.0,13933.0,17104.0,66097.0,7550.0,27009.0,64558.0,10221.0,14114.0,73497.0,4147.0,50555.0,15038.0,16306.0,3037.0,10619.0,14174.0,6282.0,3111.0,33598.0,12204,37128.0,13029.0,4157.0,32024.0,29788.0,18786.0,15589.0,81326.0,24361.0,17018.0,8126.0,19287.0,20964.0,7566.0,10889.0,13539.0,9189.0,31218.0,80835.0,40513,72002.0,69133.0
2024-01-11,17296.0,30304,39496.0,9099.0,11520.0,26729.0,36207.0,24245.0,11842.0,16244.0,58717.0,13898.0,90405.0,15017.0,45148.0,2742.0,19948.0,27423.0,9577.0,14687.0,18514.0,72904.0,8457.0,29551.0,68059.0,10747.0,14372.0,80235.0,4367.0,53345.0,15553.0,16653.0,3106.0,11071.0,14692.0,6736.0,3012.0,34990.0,13319,39988.0,13851.0,4354.0,34466.0,31132.0,19440.0,15921.0,85722.0,23125.0,18211.0,8142.0,20768.0,22880.0,8243.0,11868.0,14946.0,9741.0,32866.0,86041.0,52200,78381.0,71963.0
