Date,Angel,Baker Street,Euston,Great Portland Street,Marylebone,Old Street,Paddington,Warren Street,Aldgate,Aldgate East,Bank,Bethnal Green,Liverpool Street,Monument,Moorgate,Tower Gateway,Tower Hill,Whitechapel,Barbican,Chancery Lane,Euston Square,Farringdon,Goodge Street,Holborn,Oxford Circus,Russell Square,St Pauls,Tottenham Court Road,Bayswater,Bond Street,Gloucester Road,Knightsbridge,Lancaster Gate,Marble Arch,Notting Hill Gate,Queensway,Regents Park,South Kensington,Covent Garden,Green Park,High Street Kensington,Hyde Park Corner,Leicester Square,Piccadilly Circus,Sloane Square,St James's Park,Victoria,Westminster,Blackfriars,Cannon Street,Charing Cross,Embankment,Mansion House,Pimlico,Southwark,Temple,Vauxhall,Waterloo,Canary Wharf,London Bridge,Stratford
2022-01-01,5197,7579,13167.0,1101.0,2752.0,5139.0,17043.0,3161.0,1854,4828.0,3693.0,5369.0,15909.0,2674.0,723.0,,,,,2760.0,2882.0,1056.0,7173.0,23295.0,2507.0,2951.0,14553.0,,1583,15402.0,5366.0,11042.0,11785.0,4159.0,3931.0,355.0,9071.0,,8050,12094.0,3198.0,3444.0,1899.0,21328.0,8465.0,,,,3936.0,5535.0,7756.0,2582.0,8421.0,24813.0,,,,,13338,32251.0,28342.0
2022-01-02,5334,8540,17208.0,1225.0,3912.0,5653.0,24949.0,3677.0,5195,4381.0,21317.0,2985.0,7082.0,4997.0,,,,,1207.0,7957.0,2734.0,,,,,,,,1825,6125.0,10678.0,2481.0,13404.0,4202.0,12647.0,,,,9602,13240.0,8224.0,24583.0,19285.0,1883.0,26953.0,,,,5572.0,1868.0,6359.0,9287.0,991.0,1110.0,22.0,9723.0,29074.0,,14817,35434.0,33865.0
2022-01-03,5250,8954,16155.0,1423.0,3469.0,5551.0,23378.0,4611.0,1633,7055.0,2622.0,3502.0,767.0,5958.0,6001.0,,,,1590.0,4053.0,3388.0,1408.0,35861.0,3520.0,17762.0,,,,20010,2288.0,5460.0,568.0,,,,,,,4355,6039.0,22369.0,16671.0,6408.0,6712.0,,,,,939.0,925.0,3376.0,3080.0,1196.0,,,,,,14593,31721.0,38447.0
2022-01-04,7691,12213,14524.0,3288.0,4987.0,9722.0,21510.0,8833.0,3318,5807.0,11226.0,8630.0,27052.0,5031.0,8454.0,872.0,7204.0,10774.0,3543.0,5377.0,5360.0,9884.0,2921.0,11184.0,36717.0,3947.0,5792.0,19005.0,1741,21765.0,7369.0,10128.0,2471.0,6215.0,7442.0,4111.0,1554.0,13838.0,6783,17702.0,5517.0,2416.0,19232.0,16135.0,9298.0,4321.0,33237.0,8529.0,7278.0,2701.0,8649.0,8667.0,1877.0,4809.0,5410.0,2234.0,18611.0,31826.0,20292,45572.0,42597.0
2022-01-05,9191,13761,15633.0,3602.0,5290.0,11039.0,22719.0,9667.0,3559,6305.0,12131.0,10034.0,30472.0,5510.0,9243.0,984.0,8672.0,11402.0,3914.0,6235.0,5638.0,10849.0,3233.0,12223.0,40907.0,4429.0,6113.0,20627.0,1882,23476.0,8405.0,10831.0,2902.0,6764.0,8797.0,4156.0,1702.0,14594.0,8192,19845.0,6166.0,2831.0,21166.0,18064.0,10309.0,5044.0,36405.0,10292.0,8207.0,3168.0,9507.0,10728.0,2146.0,5542.0,5957.0,2594.0,20985.0,34358.0,22025,46797.0,44839.0
2022-01-06,9797,14207,14946.0,3812.0,5357.0,12071.0,23483.0,9768.0,3749,6480.0,12456.0,9412.0,36374.0,5689.0,10542.0,991.0,7931.0,11219.0,4602.0,6106.0,5957.0,11619.0,3502.0,12778.0,41417.0,4634.0,6000.0,20807.0,1994,23526.0,8393.0,10750.0,2568.0,6136.0,8595.0,4005.0,1655.0,15444.0,8664,20548.0,6279.0,2577.0,20348.0,18132.0,11392.0,5324.0,35754.0,9433.0,7817.0,3230.0,9606.0,10121.0,2327.0,5889.0,4897.0,3008.0,21850.0,36320.0,22309,48044.0,47902.0
2022-01-07,10881,14953,17760.0,3784.0,5775.0,13029.0,25590.0,10145.0,3583,7399.0,12086.0,11097.0,33626.0,5521.0,9254.0,1058.0,8787.0,11717.0,4043.0,6167.0,6092.0,10932.0,3354.0,13142.0,44902.0,4737.0,6544.0,23510.0,2076,25738.0,9198.0,11790.0,2866.0,6866.0,9739.0,4733.0,1768.0,16082.0,9482,20968.0,6724.0,2664.0,24871.0,20582.0,11751.0,4918.0,36362.0,9028.0,8073.0,2911.0,10345.0,10906.0,2086.0,6408.0,6261.0,3084.0,23883.0,38421.0,23454,53022.0,48121.0
2022-01-08,10876,12070,20401.0,2052.0,6793.0,10785.0,24440.0,6162.0,3421,5384.0,10089.0,10095.0,32609.0,22.0,5570.0,701.0,5.0,7134.0,2493.0,2010.0,4027.0,6589.0,2694.0,13056.0,47343.0,3725.0,6002.0,27591.0,7,23348.0,15280.0,15191.0,2966.0,6571.0,8715.0,5876.0,922.0,3.0,12885,19678.0,2.0,2372.0,37315.0,26167.0,92.0,12.0,33896.0,6769.0,11957.0,5706.0,5560.0,5504.0,1.0,21933.0,43341.0,,,,21688,55150.0,50956.0
2022-01-09,7111,10446,15824.0,1353.0,4275.0,7194.0,16823.0,4753.0,2091,4602.0,5436.0,8122.0,23427.0,2178.0,4045.0,558.0,3781.0,5661.0,1928.0,1062.0,3188.0,4018.0,1611.0,8933.0,31297.0,2898.0,4230.0,16515.0,2,16607.0,11346.0,11204.0,3302.0,5972.0,7715.0,5165.0,840.0,5.0,9450,15031.0,2362.0,22969.0,16652.0,26.0,22.0,26309.0,6503.0,,2230.0,443.0,7369.0,5907.0,396.0,4283.0,3490.0,874.0,17502.0,29020.0,18291,38816.0,53557.0
2022-01-10,9251,14932,15984.0,4017.0,5377.0,12317.0,23647.0,11489.0,3905,6534.0,14935.0,10139.0,30815.0,5022.0,11290.0,1094.0,7679.0,12592.0,5040.0,7268.0,7554.0,12379.0,3887.0,13591.0,38739.0,5410.0,7108.0,19072.0,1855,22694.0,9069.0,9672.0,2902.0,6352.0,8833.0,4387.0,1980.0,14223.0,6577,20084.0,6206.0,2677.0,16562.0,14421.0,11246.0,5520.0,35837.0,9723.0,6568.0,2876.0,8150.0,8708.0,2457.0,6415.0,6385.0,2974.0,21123.0,33905.0,24040,43955.0,45214.0
2022-01-11,10965,16369,17287.0,4627.0,5836.0,13845.0,24812.0,12301.0,4409,7147.0,17677.0,11219.0,33075.0,6149.0,12954.0,1084.0,8339.0,13044.0,5517.0,8692.0,7988.0,14049.0,4541.0,14969.0,43366.0,5885.0,7903.0,21536.0,1908,24824.0,9846.0,10655.0,3127.0,6863.0,10044.0,4636.0,1803.0,15407.0,6975,23183.0,6662.0,2875.0,18586.0,17446.0,12077.0,6219.0,40454.0,10426.0,7286.0,3486.0,9430.0,10379.0,2803.0,6969.0,7375.0,3343.0,23156.0,38208.0,25659,47531.0,45779.0
2022-01-12,11491,17333,18891.0,4897.0,6669.0,14592.0,26755.0,12820.0,4621,7831.0,19497.0,12008.0,38761.0,6819.0,13010.0,1370.0,9156.0,13308.0,5384.0,8892.0,7891.0,14735.0,4525.0,15952.0,42629.0,5930.0,8348.0,24628.0,2154,27993.0,10667.0,11211.0,3627.0,7311.0,10404.0,5100.0,2228.0,18197.0,8759,25340.0,7288.0,3143.0,22178.0,20583.0,13215.0,6448.0,44972.0,11569.0,7816.0,3647.0,10845.0,12328.0,3062.0,7325.0,7808.0,3530.0,25737.0,43546.0,27036,53411.0,61044.0
2022-01-13,12027,17719,19230.0,4936.0,6490.0,15773.0,27126.0,13448.0,4682,8017.0,19786.0,12038.0,38430.0,7198.0,13813.0,1307.0,9539.0,12882.0,5839.0,8858.0,8697.0,15446.0,4864.0,17016.0,50473.0,6117.0,8428.0,25100.0,2144,27272.0,11182.0,11147.0,3553.0,7545.0,10589.0,4986.0,2066.0,19130.0,9484,25395.0,7415.0,3146.0,22779.0,20718.0,13906.0,6432.0,46130.0,11159.0,8114.0,3789.0,10975.0,12608.0,3284.0,7620.0,8056.0,3955.0,24317.0,43112.0,28252,53805.0,48296.0
2022-01-14,12463,18219,23798.0,4733.0,6940.0,15896.0,30680.0,13241.0,4383,9110.0,17123.0,13048.0,39415.0,6385.0,11863.0,1391.0,9992.0,13018.0,5922.0,7916.0,9052.0,13479.0,3678.0,16179.0,51568.0,6409.0,8065.0,26861.0,2487,27502.0,12016.0,11679.0,3754.0,7894.0,11537.0,5802.0,2236.0,19900.0,10087,24859.0,7583.0,3190.0,26377.0,23235.0,13485.0,5791.0,52154.0,10493.0,8923.0,3676.0,11537.0,13464.0,2631.0,7757.0,8004.0,3736.0,27861.0,45656.0,28110,57904.0,53139.0
2022-01-15,4,14946,23713.0,2917.0,7521.0,2170.0,35988.0,8481.0,3761,11744.0,8938.0,13259.0,42532.0,5823.0,5396.0,1999.0,11417.0,,3863.0,4060.0,7727.0,8431.0,2028.0,15128.0,58814.0,4565.0,6233.0,30571.0,2521,27369.0,10307.0,12742.0,3695.0,7877.0,12422.0,6302.0,1297.0,20529.0,16864,22157.0,7527.0,2442.0,33771.0,32422.0,12268.0,3523.0,57834.0,11795.0,5827.0,2594.0,14685.0,16281.0,1824.0,6553.0,6751.0,2890.0,27542.0,40949.0,27200,50550.0,57938.0
