Month,occupancy
May-21,9.5
Jun-21,10.0
Jul-21,11.0
Aug-21,12.0
Sep-21,15.5
Oct-21,20.0
Nov-21,22.3
Dec-21,11.5
Jan-22,12.2
Feb-22,22.2
Mar-22,24.4
Apr-22,22.0
May-22,25.9
Jun-22,22.1
Jul-22,25.5
Aug-22,25.4
Sep-22,28.4
Oct-22,29.7
Nov-22,30.9
Dec-22,21.1
Jan-23,29.4
Feb-23,33.2
Mar-23,31.8
Apr-23,28.6
May-23,29.2
Jun-23,34.195985112318816
Jul-23,31.842547064412706
Aug-23,31.81911486413523
Sep-23,30.746166449863253
Oct-23,35.04206082644617
Nov-23,37.80999131389609
Dec-23,24.745124899717737
Jan-24,29.725724584797923
Feb-24,33.12902564010997
Mar-24,30.303511683024247
Apr-24,31.36109985145579
May-24,33.345520434822014
Jun-24,31.546321311743398
Jul-24,36.72456284062284
Aug-24,30.537170499697268
Sep-24,32.108123260417116
Oct-24,39.99253452283652
Nov-24,36.01138669380851
Dec-24,26.531054670998266
Jan-25,32.67707163046228
Feb-25,32.40737219591017
Mar-25,34.304587747731034
Apr-25,31.010864402812715
May-25,32.88400596135442
Jun-25,34.983855830956095
Jul-25,38.97367124336482
Aug-25,29.86278342114295
Sep-25,29.354365138778185
Oct-25,40.79556731965056
Nov-25,34.35304086745333
Dec-25,30.161712586087795
