Date,Angel,Baker Street,Euston,Great Portland Street,Marylebone,Old Street,Paddington,Warren Street,Aldgate,Aldgate East,Bank,Bethnal Green,Liverpool Street,Monument,Moorgate,Tower Gateway,Tower Hill,Whitechapel,Barbican,Chancery Lane,Euston Square,Farringdon,Goodge Street,Holborn,Oxford Circus,Russell Square,St Pauls,Tottenham Court Road,Bayswater,Bond Street,Gloucester Road,Knightsbridge,Lancaster Gate,Marble Arch,Notting Hill Gate,Queensway,Regents Park,South Kensington,Covent Garden,Green Park,High Street Kensington,Hyde Park Corner,Leicester Square,Piccadilly Circus,Sloane Square,St James's Park,Victoria,Westminster,Blackfriars,Cannon Street,Charing Cross,Embankment,Mansion House,Pimlico,Southwark,Temple,Vauxhall,Waterloo,Canary Wharf,London Bridge,Stratford
2021-02-16,3207.1666666666665,5299.666666666667,5299.633333333333,1861.8,1672.6333333333334,4622.866666666667,8245.033333333333,5972.133333333333,1816.0333333333333,2281.8333333333335,3829.0666666666666,4720.633333333333,10713.7,,,,,,1775.1666666666667,2559.9666666666667,3086.366666666667,4530.7,1576.8666666666666,,,,,,948.7,6841.233333333334,2509.266666666667,3166.0,,,,,,,796.6333333333333,6372.733333333334,,,,,,,,,2116.9666666666667,1260.8666666666666,2335.6,2910.6666666666665,682.3666666666667,2518.1666666666665,2248.9,1251.7666666666667,11882.8,,9099.266666666666,16867.733333333334,16561.333333333332
2021-02-17,3230.366666666667,5331.233333333334,5360.0,1873.0333333333333,1681.9,4651.133333333333,8287.5,6000.666666666667,1828.0,2295.7,3858.4,4740.133333333333,10773.333333333334,,,,,,1786.6333333333334,2571.6666666666665,3093.5666666666666,4562.666666666667,1583.4666666666667,,,,,,953.3333333333334,6886.1,2521.366666666667,3182.7,,,,,,,801.2,6419.266666666666,,,,,,,,,2137.3,1272.8333333333333,2347.0333333333333,2933.4,686.9333333333333,2529.4333333333334,2264.266666666667,1258.3333333333333,11965.066666666668,,9145.266666666666,16992.666666666668,16645.166666666668
2021-02-18,3251.8,5367.966666666666,5436.933333333333,1886.7666666666667,1688.5,4682.666666666667,8323.2,6026.833333333333,1838.6,2310.366666666667,3875.1,4758.5,10838.033333333333,,,,,,1805.5333333333333,2581.633333333333,3101.766666666667,4601.066666666667,1591.4333333333334,,,,,,958.7333333333333,6921.866666666667,2543.9666666666667,3198.733333333333,,,,,,,804.7333333333333,6465.666666666667,,,,,,,,,2151.5333333333333,1271.7666666666667,2363.5333333333333,2957.633333333333,691.1333333333333,2536.9666666666667,2279.3,1265.2666666666667,12057.766666666666,,9208.6,17092.366666666665,16753.166666666668
2021-02-19,3260.8,5416.366666666667,5520.833333333333,1892.2666666666667,1699.6333333333334,4709.1,8393.933333333332,6052.766666666666,1846.2666666666667,2326.866666666667,3906.0666666666666,4789.733333333334,10889.9,,,,,,1818.9666666666667,2589.8,3115.866666666667,4624.666666666667,1603.1,,,,,,963.5333333333333,6967.7,2561.733333333333,3218.3,,,,,,,812.3666666666667,6518.466666666666,,,,,,,,,2166.2,1273.1666666666667,2380.7,2987.766666666667,695.6333333333333,2552.5666666666666,2291.7,1265.9666666666667,12158.933333333332,,9279.6,17206.6,16876.833333333332
2021-02-22,3280.1666666666665,5455.3,5585.333333333333,1908.4333333333334,1718.3,4738.9,8444.3,6080.366666666667,1859.2666666666667,2342.0333333333333,3924.0,4814.7,10941.866666666667,,,,,,1833.5666666666666,2587.5,3131.766666666667,4650.266666666666,1613.3333333333333,,,,,,967.7666666666667,7007.366666666667,2578.6666666666665,3231.1666666666665,,,,,,,816.1333333333333,6554.866666666667,,,,,,,,,2182.8,1280.9666666666667,2393.5666666666666,3011.766666666667,699.0333333333333,2563.0333333333333,2303.8,1273.4,12220.833333333334,,9320.066666666668,17290.766666666666,16963.233333333334
2021-02-23,3309.4,5507.9,5684.8,1943.4666666666667,1730.0,4780.366666666667,8506.166666666666,6104.366666666667,1869.6,2356.8,3957.133333333333,4847.5,11012.133333333333,,,,,,1853.6333333333334,2601.0,3169.633333333333,4686.266666666666,1623.3,,,,,,979.2666666666667,7067.766666666666,2600.7,3249.0333333333333,,,,,,,822.4333333333333,6612.7,,,,,,,,,2219.733333333333,1298.1,2408.133333333333,3045.9333333333334,778.0,2563.1,2269.6666666666665,1675.7333333333333,,,9454.333333333334,17404.5,17094.266666666666
2021-02-24,3337.3333333333335,5577.433333333333,5759.366666666667,1967.6333333333334,1746.8,4819.0,8546.633333333333,6131.033333333334,1884.5333333333333,2379.133333333333,3990.6,4887.233333333334,11095.033333333333,,,,,,1867.2,2612.8,3172.9,4717.933333333333,1632.4,,,,,,985.5,7125.033333333334,2620.733333333333,3272.8333333333335,,,,,,,831.4333333333333,6679.6,,,,,,,,,2238.4333333333334,1349.5,2360.6666666666665,3044.766666666667,1220.9666666666667,,,,,,9533.9,17549.8,17216.033333333333
2021-02-25,3368.3,5624.5,5845.0,1986.3333333333333,1757.4666666666667,4862.6,8607.3,6159.9,1897.2666666666667,2396.5666666666666,4024.0,4920.5,11160.366666666667,,,,,,1882.5,2627.8,3183.5666666666666,4755.133333333333,1642.4,,,,,,990.4666666666667,7179.366666666667,2643.6666666666665,3289.4333333333334,,,,,,,840.3333333333334,6733.6,,,,,,,,,2218.1666666666665,1429.7,2316.9666666666667,3054.866666666667,1236.4333333333334,,,,,,9598.933333333332,17672.5,17344.3
2021-02-26,3407.5333333333333,5696.0,5936.766666666666,2008.0333333333333,1773.2666666666667,4899.066666666667,8683.566666666668,6187.4,1909.8333333333333,2416.8333333333335,4062.0,4968.033333333334,11263.366666666667,,,,,,1891.8333333333333,2643.0666666666666,3199.2,4788.666666666667,1650.5333333333333,,,,,,999.0333333333333,7239.2,2672.733333333333,3312.5,,,,,,,853.4333333333333,6812.3,,,,,,,,,2242.4,1438.3666666666666,2338.0,3091.7,1241.8666666666666,,,,,,9705.266666666666,17852.1,17513.166666666668
2021-03-01,3434.6666666666665,5748.6,6016.766666666666,2027.2,1788.3666666666666,4941.0,8750.333333333334,6215.7,1923.0666666666666,2444.9333333333334,4088.3333333333335,5004.7,11355.933333333332,,,,,,1899.0,2656.866666666667,3216.766666666667,4816.633333333333,1658.2333333333333,,,,,,1004.7,7301.733333333334,2707.233333333333,3341.1,,,,,,,863.1333333333333,6865.933333333333,,,,,,,,,2262.4333333333334,1448.0666666666666,2359.5,3116.733333333333,1247.2666666666667,,,,,,9756.733333333334,18041.9,17641.233333333334
