Date,Angel,Baker Street,Euston,Great Portland Street,Marylebone,Old Street,Paddington,Warren Street,Aldgate,Aldgate East,Bank,Bethnal Green,Liverpool Street,Monument,Moorgate,Tower Gateway,Tower Hill,Whitechapel,Barbican,Chancery Lane,Euston Square,Farringdon,Goodge Street,Holborn,Oxford Circus,Russell Square,St Pauls,Tottenham Court Road,Bayswater,Bond Street,Gloucester Road,Knightsbridge,Lancaster Gate,Marble Arch,Notting Hill Gate,Queensway,Regents Park,South Kensington,Covent Garden,Green Park,High Street Kensington,Hyde Park Corner,Leicester Square,Piccadilly Circus,Sloane Square,St James's Park,Victoria,Westminster,Blackfriars,Cannon Street,Charing Cross,Embankment,Mansion House,Pimlico,Southwark,Temple,Vauxhall,Waterloo,Canary Wharf,London Bridge,Stratford
2025-01-02,12291,25095,29952.0,5341.0,10362.0,15199.0,37661.0,14082.0,7516.0,28889.0,59221.0,14273.0,21302.0,2399.0,28221.0,,,,5028.0,7329.0,9397.0,38568.0,4806.0,72602.0,11300.0,,,,6077.0,28639.0,3710.0,22152.0,,,,,,,12815.0,46506.0,32753.0,,,,,,,,12701.0,4310.0,25065.0,5040.0,5796.0,66791.0,,,,,32573.0,67145.0,70459.0
2025-01-03,12838,25813,36385.0,5238.0,11825.0,15602.0,36082.0,14426.0,15287.0,12373.0,21737.0,,,,,,,,21663.0,10678.0,85588.0,,,,,,,,57118.0,14315.0,17643.0,7893.0,2399.0,36683.0,,,,,20152.0,37866.0,13460.0,49605.0,16161.0,12264.0,74780.0,,,,25819.0,7509.0,8777.0,22899.0,,,,,,,32630.0,68170.0,70567.0
2025-01-06,13391,23172,33012.0,6866.0,10059.0,18874.0,31391.0,18575.0,8209.0,12946.0,40450.0,12396.0,70147.0,10438.0,36241.0,1887.0,14604.0,25167.0,6828.0,11775.0,12052.0,54298.0,6400.0,21719.0,55877.0,8760.0,11019.0,65512.0,4354.0,47658.0,13922.0,17236.0,2769.0,10120.0,13107.0,6164.0,2570.0,32878.0,10264.0,32399.0,12244.0,3224.0,26217.0,25255.0,15365.0,11871.0,70652.0,21142.0,14554.0,6427.0,18566.0,18457.0,5691.0,9007.0,10822.0,7408.0,26881.0,67959.0,41657.0,60999.0,66682.0
2025-01-07,17222,27912,38585.0,8605.0,12158.0,23969.0,35893.0,22591.0,10666.0,15070.0,55567.0,13794.0,85460.0,13957.0,47357.0,2291.0,16666.0,27315.0,7692.0,15065.0,14642.0,67751.0,7437.0,24652.0,61934.0,9741.0,13551.0,77729.0,3988.0,53914.0,14785.0,17158.0,2936.0,10781.0,14455.0,5839.0,3023.0,32014.0,12150.0,37028.0,13048.0,3564.0,30157.0,29161.0,18138.0,15084.0,82739.0,23450.0,17471.0,8109.0,22281.0,22411.0,7302.0,7824.0,13916.0,9225.0,32269.0,83577.0,49868.0,74240.0,71357.0
2025-01-08,16390,28133,38852.0,8991.0,12386.0,24702.0,36869.0,22302.0,10923.0,14678.0,55424.0,13498.0,89058.0,13961.0,46925.0,2301.0,17401.0,26738.0,8520.0,14719.0,14750.0,68857.0,7412.0,26739.0,65149.0,9494.0,13818.0,79586.0,4083.0,54139.0,15156.0,16791.0,3082.0,10933.0,14695.0,5992.0,2927.0,33413.0,12338.0,39311.0,13667.0,3448.0,30970.0,30225.0,18396.0,15660.0,89879.0,23790.0,17127.0,7887.0,23006.0,23231.0,7215.0,53.0,14125.0,9255.0,34928.0,84891.0,50111.0,74579.0,68569.0
2025-01-09,18179,29861,39348.0,9550.0,12778.0,26876.0,37847.0,22708.0,11030.0,16166.0,60772.0,14124.0,92045.0,15418.0,50119.0,2611.0,19389.0,27231.0,9466.0,16015.0,15032.0,73672.0,7770.0,29034.0,69794.0,10186.0,14833.0,86010.0,4474.0,57303.0,15868.0,17221.0,3234.0,11266.0,12913.0,7153.0,3231.0,33882.0,13519.0,40145.0,14296.0,3798.0,33990.0,33111.0,19293.0,16364.0,91965.0,24049.0,19060.0,8559.0,24032.0,25317.0,8005.0,1304.0,14865.0,10476.0,34335.0,89529.0,51392.0,80350.0,70701.0
2025-01-10,16890,25963,34600.0,6701.0,10774.0,20231.0,33699.0,18529.0,7506.0,13821.0,34299.0,14236.0,70382.0,9719.0,29765.0,2074.0,16207.0,25139.0,6459.0,10905.0,11447.0,50204.0,6243.0,23365.0,60305.0,10112.0,11135.0,77033.0,4566.0,49897.0,15571.0,17662.0,3256.0,11071.0,15366.0,6567.0,2842.0,33024.0,13212.0,35564.0,13474.0,3552.0,35833.0,34649.0,18014.0,11522.0,75533.0,18603.0,12945.0,5686.0,20210.0,19499.0,5049.0,8951.0,10066.0,7439.0,29173.0,70144.0,40292.0,69169.0,68268.0
2025-01-13,14941,28417,38160.0,8146.0,10527.0,21834.0,34243.0,22315.0,9648.0,14658.0,46330.0,13251.0,76209.0,12407.0,41516.0,2387.0,16934.0,27175.0,7972.0,13664.0,16837.0,62374.0,7642.0,25244.0,57887.0,11333.0,12867.0,69999.0,4287.0,49744.0,15748.0,15848.0,2903.0,10134.0,14693.0,6189.0,2773.0,32295.0,10636.0,35007.0,13114.0,3499.0,26689.0,26006.0,17594.0,14041.0,75020.0,22019.0,16396.0,7388.0,18516.0,20026.0,6257.0,10440.0,11981.0,11352.0,30035.0,75620.0,45673.0,69170.0,71436.0
2025-01-14,19203,32547,44997.0,10104.0,12877.0,27936.0,42652.0,26246.0,11997.0,17643.0,63342.0,14586.0,93619.0,16348.0,51883.0,2744.0,19211.0,29262.0,9201.0,16683.0,20244.0,76587.0,8896.0,30620.0,61514.0,12185.0,14925.0,84747.0,4438.0,59125.0,17068.0,16968.0,3403.0,11103.0,16195.0,6392.0,3320.0,36555.0,12297.0,41734.0,14616.0,4147.0,31025.0,31251.0,20123.0,17644.0,89590.0,25952.0,19965.0,9483.0,23445.0,25578.0,8476.0,11780.0,15495.0,13150.0,35366.0,97600.0,56056.0,84400.0,91422.0
2025-01-15,21119,32513,44771.0,10266.0,13714.0,27798.0,42909.0,24599.0,12654.0,17457.0,62019.0,15241.0,96022.0,15424.0,52192.0,2791.0,19908.0,28269.0,9696.0,16751.0,19650.0,77375.0,8950.0,31573.0,70058.0,11590.0,15357.0,87676.0,4790.0,58563.0,16960.0,16805.0,3432.0,11523.0,16168.0,6676.0,3538.0,35745.0,12742.0,43164.0,14972.0,4139.0,32851.0,32376.0,20628.0,17264.0,95198.0,25958.0,19269.0,9120.0,24290.0,26050.0,8029.0,12051.0,15242.0,12606.0,36813.0,98456.0,55968.0,86196.0,76795.0
